Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Non-Hispanic White,75,5.2,5.1
2012,Essential Hypertension and Renal Diseases ,Female,Asian and Pacific Islander,39,6.7,7.8
2008,Insitu or Benign / Uncertain Neoplasms,Female,Not Stated/Unknown,5,,
2010,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,,,
2011,Tuberculosis ,Female,Not Stated/Unknown,,,
2010,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,182,13.6,12.3
2013,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,18,,
2014,Diseases of Heart ,Male,Other Race/ Ethnicity,63,,
2007,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,,,
2011,Certain Conditions originating in the Perinatal Period ,Male,Asian and Pacific Islander,19,3.6,4.2
2008,Diabetes Mellitus ,Male,Other Race/ Ethnicity,,,
2010,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,30,5.8,8.7
2013,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,285,27.3,22.5
2007,Chronic Lower Respiratory Diseases ,Female,Not Stated/Unknown,6,,
2012,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,11,,
2007,All Other Causes,Female,Non-Hispanic Black,1230,116.8,113.4
2013,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,35,5.8,6.3
2009,Human Immunodeficiency Virus Disease (HIV),Male,Not Stated/Unknown,8,,
2011,Assault (Homicide),Male,Other Race/ Ethnicity,,,
2009,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,134,15.8,16.8
2011,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3371,238,161.1
2011,Certain Conditions originating in the Perinatal Period ,Male,Other Race/ Ethnicity,,,
2010,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,,,
2011,Alzheimer's Disease ,Female,Non-Hispanic White,231,16.3,7.2
2007,Alzheimer's Disease ,Female,Not Stated/Unknown,,,
2010,Insitu or Benign / Uncertain Neoplasms,Female,Not Stated/Unknown,,,
2013,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic Black,148,17.2,20.9
2013,Diabetes Mellitus ,Female,Hispanic,221,17.7,19.6
2009,Chronic Lower Respiratory Diseases ,Female,Hispanic,155,12.9,16
2009,Atherosclerosis ,Female,Other Race/ Ethnicity,,,
2011,Diabetes Mellitus ,Male,Non-Hispanic Black,307,36,43.9
2011,Essential Hypertension and Renal Diseases ,Female,Hispanic,83,6.8,8.1
2009,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,35,6.9,6.7
2012,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,17,,
2014,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,207,19.7,15.9
2011,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,,,
2009,Accidents Except Drug Posioning ,Male,Hispanic,170,15.1,17.9
2007,All Other Causes,Female,Other Race/ Ethnicity,15,,
2011,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,14,,
2007,Assault (Homicide),Male,Hispanic,114,10.5,9.9
2007,Insitu or Benign / Uncertain Neoplasms,Female,Not Stated/Unknown,,,
2014,All Other Causes,Male,Asian and Pacific Islander,424,73.9,90.4
2009,Septicemia ,Female,Not Stated/Unknown,,,
2012,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,170,19.9,23.3
2011,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2011,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,7,,
2012,Diseases of Heart ,Male,Non-Hispanic Black,1940,226.8,280.7
2011,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,444,33.3,27.8
2013,Chronic Lower Respiratory Diseases ,Female,Hispanic,168,13.5,14.8
2012,Malignant Neoplasms (Cancer),Female,Not Stated/Unknown,36,,
2009,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,147,17.3,22.6
2008,All Other Causes,Male,Non-Hispanic White,1824,135.9,119.9
2013,Chronic Liver Disease and Cirrhosis ,Male,Hispanic,149,12.6,15.7
2010,Diseases of Heart ,Female,Non-Hispanic Black,2282,217.7,194.2
2014,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,36,5.8,6.3
2011,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,79,15,18.5
2007,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,261,19.5,17.6
2010,Diseases of Heart ,Male,Hispanic,1354,118.5,215.5
2011,All Other Causes,Female,Other Race/ Ethnicity,38,,
2008,Cerebrovascular Disease (Stroke),Male,Other Race/ Ethnicity,5,,
2010,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,147,17.3,18.3
2011,Septicemia ,Female,Not Stated/Unknown,,,
2009,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,208,19.9,17.9
2008,Diseases of Heart ,Male,Other Race/ Ethnicity,39,,
2013,All Other Causes,Female,Not Stated/Unknown,79,,
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Male,Asian and Pacific Islander,14,2.8,3
2009,Alzheimer's Disease ,Female,Non-Hispanic Black,79,7.5,6.8
2007,Influenza (Flu) and Pneumonia ,Female,Other Race/ Ethnicity,,,
2008,Cerebrovascular Disease (Stroke),Male,Hispanic,124,11.2,18.8
2010,Cerebrovascular Disease (Stroke),Female,Hispanic,168,13.8,16.7
2007,Cerebrovascular Disease (Stroke),Male,Non-Hispanic Black,213,25,33
2009,Alzheimer's Disease ,Female,Hispanic,56,4.7,6.2
2013,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,521,36.6,21.6
2013,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,7,,
2012,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,11,,
2012,Aortic Aneurysm and Dissection ,Female,Other Race/ Ethnicity,,,
2013,Diabetes Mellitus ,Female,Not Stated/Unknown,15,,
2010,Influenza (Flu) and Pneumonia ,Male,Hispanic,235,20.6,38.9
2014,Cerebrovascular Disease (Stroke),Male,Not Stated/Unknown,8,,
2008,Assault (Homicide),Male,Non-Hispanic Black,286,33.7,33.8
2013,Alzheimer's Disease ,Female,Not Stated/Unknown,8,,
2012,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,55,10.2,15.1
2012,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,540,40.3,32.3
2010,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,259,24.7,22.2
2011,Diabetes Mellitus ,Male,Asian and Pacific Islander,60,11.4,14.3
2007,Diseases of Heart ,Female,Asian and Pacific Islander,428,83.1,115.2
2011,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,225,21.5,18.7
2014,All Other Causes,Female,Non-Hispanic Black,1536,146.4,126.4
2009,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,629,43.8,23.1
2009,Diseases of Heart ,Female,Not Stated/Unknown,111,,
2007,All Other Causes,Female,Non-Hispanic White,1680,117.1,81.5
2011,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,98,17.2,20.6
2013,All Other Causes,Male,Asian and Pacific Islander,395,71.3,89.8
2014,Cerebrovascular Disease (Stroke),Female,Hispanic,220,17.4,19
2010,Intentional Self-Harm (Suicide),Male,Other Race/ Ethnicity,,,
2012,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,33,5.6,5.8
2012,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,29,,
2008,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic White,518,36.1,21.4
2007,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic White,530,39.6,32.9
2010,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,108,20.7,31.7
2014,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,,,
2008,Accidents Except Drug Posioning ,Female,Other Race/ Ethnicity,,,
2014,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,399,29.7,24
2011,Parkinson's Disease ,Female,Not Stated/Unknown,,,
2010,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,707,49.4,24.8
2007,Intentional Self-Harm (Suicide),Female,Asian and Pacific Islander,22,4.3,3.9
2013,Chronic Liver Disease and Cirrhosis ,Male,Other Race/ Ethnicity,,,
2008,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,46,9.2,16.1
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Not Stated/Unknown,8,,
2011,All Other Causes,Male,Asian and Pacific Islander,340,64.3,85.1
2013,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,204,15.2,13.6
2008,Diabetes Mellitus ,Male,Non-Hispanic White,246,18.3,15.6
2009,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,58,11.4,15.5
2010,Assault (Homicide),Male,Non-Hispanic Black,299,35.1,35.5
2008,Essential Hypertension and Renal Diseases ,Female,Hispanic,104,8.8,11.4
2010,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,414,73.6,79.9
2010,Certain Conditions originating in the Perinatal Period ,Female,Asian and Pacific Islander,18,3.2,4
2011,Assault (Homicide),Female,Not Stated/Unknown,,,
2010,Malignant Neoplasms (Cancer),Male,Not Stated/Unknown,46,,
2011,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,466,32.9,17.6
2009,Alzheimer's Disease ,Female,Asian and Pacific Islander,14,2.5,3.6
2014,Influenza (Flu) and Pneumonia ,Male,Not Stated/Unknown,14,,
2013,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,7,,
2007,All Other Causes,Female,Asian and Pacific Islander,182,35.3,44.6
2012,Assault (Homicide),Male,Other Race/ Ethnicity,,,
2011,All Other Causes,Female,Non-Hispanic White,2445,172.6,105.4
2011,Chronic Lower Respiratory Diseases ,Male,Hispanic,123,10.7,19.2
2007,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic Black,163,19.1,19
2011,All Other Causes,Female,Asian and Pacific Islander,278,48.7,57.4
2010,Chronic Lower Respiratory Diseases ,Female,Hispanic,156,12.8,15.4
2007,Intentional Self-Harm (Suicide),Male,Asian and Pacific Islander,36,7.4,7.7
2011,Diseases of Heart ,Female,Other Race/ Ethnicity,31,,
2013,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,25,,
2007,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Not Stated/Unknown,10,,
2007,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic White,659,45.9,23.2
2008,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,65,12.2,15.4
2014,Diabetes Mellitus ,Female,Not Stated/Unknown,9,,
2007,Cerebrovascular Disease (Stroke),Female,Asian and Pacific Islander,70,13.6,17.6
2011,All Other Causes,Male,Other Race/ Ethnicity,27,,
2013,Diabetes Mellitus ,Male,Non-Hispanic Black,300,35,41.1
2014,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,266,25.3,20.6
2009,Influenza (Flu) and Pneumonia ,Female,Non-Hispanic Black,281,26.8,24.5
2013,Influenza (Flu) and Pneumonia ,Male,Asian and Pacific Islander,102,18.4,26.8
2014,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,14,,
2011,Diseases of Heart ,Female,Not Stated/Unknown,43,,
2011,Accidents Except Drug Posioning ,Male,Non-Hispanic White,272,20.4,18.1
2008,Accidents Except Drug Posioning ,Male,Non-Hispanic Black,146,17.2,18.1
2013,Human Immunodeficiency Virus Disease (HIV),Male,Non-Hispanic Black,204,23.8,23.2
2011,Intentional Self-Harm (Suicide),Male,Other Race/ Ethnicity,5,,
2007,All Other Causes,Male,Non-Hispanic Black,1163,136.5,162.4
2007,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,56,11.6,16.2
2009,All Other Causes,Male,Asian and Pacific Islander,220,43.1,56.1
2010,Diseases of Heart ,Female,Other Race/ Ethnicity,50,,
2012,Malignant Neoplasms (Cancer),Female,Hispanic,1125,90.8,100.5
2009,All Other Causes,Male,Non-Hispanic White,1818,135.1,118.5
2009,Chronic Lower Respiratory Diseases ,Male,Not Stated/Unknown,6,,
2014,Certain Conditions originating in the Perinatal Period ,Female,Not Stated/Unknown,10,,
2011,All Other Causes,Male,Non-Hispanic Black,1337,156.7,181.7
2012,Diseases of Heart ,Female,Asian and Pacific Islander,402,68.8,81.2
2008,Chronic Lower Respiratory Diseases ,Male,Hispanic,132,11.9,22.8
2010,Diseases of Heart ,Male,Other Race/ Ethnicity,52,,
2014,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Other Race/ Ethnicity,12,,
2010,Diabetes Mellitus ,Male,Non-Hispanic White,245,18.3,15.6
2010,Diseases of Heart ,Male,Not Stated/Unknown,70,,
2012,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,199,14,7.2
2010,Certain Conditions originating in the Perinatal Period ,Male,Not Stated/Unknown,6,,
2009,Malignant Neoplasms (Cancer),Female,Non-Hispanic White,3346,232.9,159
2012,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,8,,
2012,Diseases of Heart ,Male,Asian and Pacific Islander,469,86.8,116.9
2014,Certain Conditions originating in the Perinatal Period ,Male,Other Race/ Ethnicity,8,,
2010,Malignant Neoplasms (Cancer),Female,Hispanic,1045,85.9,98.5
2013,All Other Causes,Female,Non-Hispanic White,2595,182.5,111.1
2011,Viral Hepatitis ,Male,Not Stated/Unknown,,,
2007,Malignant Neoplasms (Cancer),Female,Hispanic,969,83,100.7
2012,Intentional Self-Harm (Suicide),Male,Non-Hispanic White,199,14.9,13.6
2007,Septicemia ,Female,Hispanic,49,4.2,5.5
2011,Human Immunodeficiency Virus Disease (HIV),Female,Hispanic,70,5.7,5.7
2014,Alzheimer's Disease ,Female,Hispanic,142,11.2,12.5
2010,Diseases of Heart ,Female,Asian and Pacific Islander,394,70.1,89.7
2012,Assault (Homicide),Male,Non-Hispanic Black,235,27.5,27.6
2008,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,13,,
2007,Diseases of Heart ,Female,Non-Hispanic Black,2722,258.6,247.3
2014,Chronic Liver Disease and Cirrhosis ,Female,Not Stated/Unknown,,,
2009,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,75,7.2,6.7
2009,Malignant Neoplasms (Cancer),Male,Hispanic,1180,105.1,172.2
2009,All Other Causes,Female,Non-Hispanic White,1684,117.2,77.2
2007,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Non-Hispanic Black,87,8.3,7.4
2011,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Female,Hispanic,56,4.6,4.5
2013,Diabetes Mellitus ,Male,Hispanic,192,16.3,24.9
2013,Viral Hepatitis ,Female,Asian and Pacific Islander,15,2.5,2.5
2007,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,,,
2014,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,90,8.6,7.1
2007,Cerebrovascular Disease (Stroke),Female,Hispanic,164,14,18.3
2014,Diseases of Heart ,Female,Non-Hispanic White,4507,318,161
2009,All Other Causes,Female,Non-Hispanic Black,1305,124.6,117.3
2011,Diabetes Mellitus ,Female,Asian and Pacific Islander,51,8.9,10.7
2007,Chronic Lower Respiratory Diseases ,Female,Non-Hispanic Black,163,15.5,14.8
2014,Essential Hypertension and Renal Diseases ,Male,Not Stated/Unknown,9,,
2013,Alzheimer's Disease ,Male,Other Race/ Ethnicity,,,
2011,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,83,14.5,17.8
2010,Accidents Except Drug Posioning ,Male,Other Race/ Ethnicity,5,,
2008,All Other Causes,Male,Other Race/ Ethnicity,8,,
2013,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Non-Hispanic Black,93,8.9,7.6
2012,Cerebrovascular Disease (Stroke),Male,Asian and Pacific Islander,70,13,17.5
2010,Intentional Self-Harm (Suicide),Female,Other Race/ Ethnicity,5,,
2012,Human Immunodeficiency Virus Disease (HIV),Female,Non-Hispanic Black,136,13,11.6
2012,Diabetes Mellitus ,Female,Other Race/ Ethnicity,9,,
2013,Chronic Lower Respiratory Diseases ,Male,Asian and Pacific Islander,72,13,18.5
2011,All Other Causes,Male,Non-Hispanic White,2165,162.3,139.5
2012,Intentional Self-Harm (Suicide),Male,Not Stated/Unknown,8,,
2012,Diseases of Heart ,Male,Other Race/ Ethnicity,39,,
2014,Human Immunodeficiency Virus Disease (HIV),Female,Not Stated/Unknown,7,,
2012,Diseases of Heart ,Male,Not Stated/Unknown,99,,
2011,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,43,7.5,8.5
2013,Cerebrovascular Disease (Stroke),Female,Non-Hispanic Black,271,25.9,21.7
2010,Viral Hepatitis ,Male,Not Stated/Unknown,,,
2011,Assault (Homicide),Male,Non-Hispanic Black,266,31.2,31.5
2009,"Nephritis, Nephrotic Syndrome and Nephrisis ",Female,Other Race/ Ethnicity,,,
2008,Intentional Self-Harm (Suicide),Female,Not Stated/Unknown,,,
2007,Diabetes Mellitus ,Male,Other Race/ Ethnicity,11,,
2008,Accidents Except Drug Posioning ,Male,Non-Hispanic White,272,20.3,18.4
2008,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,227,16.9,15.5
2010,Diseases of Heart ,Male,Non-Hispanic Black,2015,236.7,307.7
2008,Chronic Lower Respiratory Diseases ,Female,Other Race/ Ethnicity,,,
2010,Malignant Neoplasms (Cancer),Female,Non-Hispanic Black,1768,168.6,151.8
2013,All Other Causes,Male,Other Race/ Ethnicity,42,,
2009,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,16,,
2011,Diseases of Heart ,Female,Asian and Pacific Islander,402,70.5,86.1
2008,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,,,
2007,All Other Causes,Male,Not Stated/Unknown,43,,
2011,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,200,23.4,29.1
2008,Chronic Liver Disease and Cirrhosis ,Female,Hispanic,63,5.3,6.2
2008,Influenza (Flu) and Pneumonia ,Female,Hispanic,227,19.2,25.5
2008,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,172,15.6,16.3
2014,Chronic Lower Respiratory Diseases ,Female,Hispanic,193,15.2,16.8
2010,Assault (Homicide),Male,Other Race/ Ethnicity,,,
2008,Diabetes Mellitus ,Female,Non-Hispanic Black,380,36.3,34.3
2008,Chronic Lower Respiratory Diseases ,Female,Hispanic,156,13.2,16.8
2008,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic Black,192,18.3,17.1
2014,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,42,6.7,6.9
2008,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,30,5.6,7.9
2007,Diabetes Mellitus ,Female,Non-Hispanic White,231,16.1,9.8
2010,Alzheimer's Disease ,Female,Non-Hispanic White,247,17.3,7.5
2010,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic White,388,28.9,24.2
2009,Essential Hypertension and Renal Diseases ,Male,Asian and Pacific Islander,26,5.1,7.2
2010,Essential Hypertension and Renal Diseases ,Female,Other Race/ Ethnicity,,,
2013,Diabetes Mellitus ,Female,Asian and Pacific Islander,60,10,10.9
2009,All Other Causes,Male,Other Race/ Ethnicity,18,,
2014,Diseases of Heart ,Male,Non-Hispanic White,3990,297.1,238.4
2007,Cerebrovascular Disease (Stroke),Male,Hispanic,126,11.6,20
2009,Diseases of Heart ,Male,Other Race/ Ethnicity,38,,
2011,Diseases of Heart ,Male,Non-Hispanic Black,1840,215.7,268.3
2007,Mental and Behavioral Disorders due to Use of Alcohol,Male,Not Stated/Unknown,,,
2007,Aortic Aneurysm and Dissection ,Female,Not Stated/Unknown,,,
2014,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Hispanic,191,16,16.6
2007,Essential Hypertension and Renal Diseases ,Female,Non-Hispanic White,155,10.8,5.9
2009,Influenza (Flu) and Pneumonia ,Female,Not Stated/Unknown,17,,
2013,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,78,13,14.6
2009,Certain Conditions originating in the Perinatal Period ,Male,Other Race/ Ethnicity,,,
2011,Cerebrovascular Disease (Stroke),Male,Non-Hispanic White,290,21.7,18.2
2014,All Other Causes,Male,Non-Hispanic White,2275,169.4,141.3
2012,Diabetes Mellitus ,Female,Asian and Pacific Islander,57,9.8,11.4
2007,Assault (Homicide),Female,Other Race/ Ethnicity,,,
2010,Chronic Lower Respiratory Diseases ,Female,Asian and Pacific Islander,28,5,6.7
2010,Accidents Except Drug Posioning ,Male,Not Stated/Unknown,10,,
2007,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,32,6.2,7.6
2011,Alzheimer's Disease ,Female,Other Race/ Ethnicity,,,
2012,Cerebrovascular Disease (Stroke),Female,Non-Hispanic White,416,29.3,15.4
2010,Diseases of Heart ,Female,Not Stated/Unknown,70,,
2014,Influenza (Flu) and Pneumonia ,Male,Non-Hispanic Black,242,28,33.9
2014,Influenza (Flu) and Pneumonia ,Male,Hispanic,199,16.7,26.6
2010,Accidents Except Drug Posioning ,Female,Other Race/ Ethnicity,,,
2007,Diabetes Mellitus ,Male,Non-Hispanic White,237,17.7,15
2012,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,272,20.3,18.7
2011,Diseases of Heart ,Female,Non-Hispanic Black,2243,214.3,186.7
2010,Accidents Except Drug Posioning ,Female,Hispanic,58,4.8,5.2
2014,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,8,,
2014,Diseases of Heart ,Female,Other Race/ Ethnicity,68,,
2007,Chronic Lower Respiratory Diseases ,Female,Hispanic,116,9.9,12.8
2008,Influenza (Flu) and Pneumonia ,Female,Asian and Pacific Islander,73,13.7,19.1
2008,Accidents Except Drug Posioning ,Male,Hispanic,186,16.8,20.6
2008,Chronic Lower Respiratory Diseases ,Male,Non-Hispanic Black,169,19.9,26.4
2011,Diabetes Mellitus ,Male,Other Race/ Ethnicity,14,,
2013,Essential Hypertension and Renal Diseases ,Male,Non-Hispanic White,156,11.6,9.3
2011,All Other Causes,Female,Non-Hispanic Black,1473,140.7,128.8
2011,Cerebrovascular Disease (Stroke),Female,Other Race/ Ethnicity,5,,
2009,Accidents Except Drug Posioning ,Female,Asian and Pacific Islander,37,6.7,8
2014,All Other Causes,Female,Asian and Pacific Islander,339,54.2,59
2009,Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use ,Male,Non-Hispanic White,221,16.4,14.8
2007,Malignant Neoplasms (Cancer),Female,Other Race/ Ethnicity,22,,
2012,All Other Causes,Female,Not Stated/Unknown,53,,
2010,All Other Causes,Female,Non-Hispanic Black,1326,126.5,117.4
2012,Accidents Except Drug Posioning ,Male,Hispanic,191,16.3,19.7
2009,All Other Causes,Male,Non-Hispanic Black,1246,146.7,167.7
2014,Influenza (Flu) and Pneumonia ,Male,Other Race/ Ethnicity,11,,
2014,Chronic Lower Respiratory Diseases ,Female,Other Race/ Ethnicity,6,,
2007,Essential Hypertension and Renal Diseases ,Female,Not Stated/Unknown,5,,
2010,Mental and Behavioral Disorders due to Use of Alcohol,Male,Other Race/ Ethnicity,,,
2010,All Other Causes,Male,Non-Hispanic White,2034,151.6,130.9
2008,Malignant Neoplasms (Cancer),Female,Asian and Pacific Islander,344,64.6,73.8
2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities ",Female,Not Stated/Unknown,,,
